Method,Completion Time (s),RMSE (m),Max Deviation (m),Max Control (°),Saturation %,Max Jerk (m/s³),RMS Jerk (m/s³),Vel. Reversals
Step PID,N/A,0.034372,0.140899,10.258,0.0%,606.782,221.473,176
One-Shot Trajectory,6.934,0.006400,0.020471,7.861,0.0%,718.449,241.516,181
Trajectory Update,6.202,0.009539,0.030318,9.495,0.0%,753.019,234.030,174
