time,position_x,setpoint,error,control_signal,tilt_angle,saturated
0.046503543853759766,0.13747957002079783,0.12637795149837294,-0.011101618522424889,-0.6142525528457691,-0.6142525528457691,0
0.09578514099121094,0.13772333305375478,0.1250101877693834,-0.012713145284371369,-1.7106724923959231,-1.7106724923959231,0
0.14346003532409668,0.1373869639017049,0.12368701654443189,-0.01369994735727302,-1.3907852821031481,-1.3907852821031481,0
0.19114995002746582,0.1374092878818008,0.12236342844342242,-0.01504585943837837,-1.6976933422201812,-1.6976933422201812,0
0.23870015144348145,0.13678204494876245,0.12104371795145974,-0.01573832699730271,-1.3334842659288813,-1.3334842659288813,0
0.2868218421936035,0.13645025711172631,0.12486993890239023,-0.011580318209336082,1.8649563779867853,1.8649563779867853,0
0.3518517017364502,0.1360309741024045,0.12298727273585373,-0.013043701366550767,-1.4482526726206078,-1.4482526726206078,0
0.3985109329223633,0.13736395140027746,0.12163645087451411,-0.015727500525763355,-2.6429554084703244,-2.6429554084703244,0
0.44661664962768555,0.13730150781182418,0.1202437521066746,-0.017057755705149585,-1.8283331895704644,-1.8283331895704644,0
0.49530601501464844,0.13787772072155913,0.12563469412031864,-0.012243026601240492,2.2266982841888616,2.2266982841888616,0
0.5441076755523682,0.13809579661253146,0.12414099404994862,-0.013954802562582844,-1.8931450863726806,-1.8931450863726806,0
0.5905940532684326,0.13629695518909865,0.1227181591525159,-0.013578796036582755,-0.5838355945883463,-0.5838355945883463,0
0.6387448310852051,0.13653719617062884,0.12124438101831297,-0.01529281515231587,-1.9960336291962442,-1.9960336291962442,0
0.7027451992034912,0.13692888536350944,0.12418317753737548,-0.012745707826133962,0.3977570972321275,0.3977570972321275,0
0.7507171630859375,0.13753817377874827,0.12265458594864671,-0.01488358783010156,-2.257871843506969,-2.257871843506969,0
0.799628734588623,0.13720344648525823,0.12109605444942098,-0.016107392035837248,-1.7467260558597815,-1.7467260558597815,0
0.8472752571105957,0.13676832748531087,0.11957783281193005,-0.017190494673380824,-1.7458260604500508,-1.7458260604500508,0
0.8958868980407715,0.13667042504828297,0.11802885838131766,-0.018641566666965315,-2.0314724335910035,-2.0314724335910035,0
0.9425790309906006,0.1371231543053641,0.12360489673705048,-0.01351825756831361,2.409845424930743,2.409845424930743,0
0.992866039276123,0.1358026763178177,0.12190541491119146,-0.01389726140662624,-1.1358409128066327,-1.1358409128066327,0
1.038956880569458,0.13667042504828297,0.12034774525083254,-0.016322679797450432,-2.624742026885542,-2.624742026885542,0
1.102592945098877,0.13730847246990868,0.11819712347347626,-0.019111348996432423,-2.5262680447142336,-2.5262680447142336,0
1.152153730392456,0.13713766621650594,0.12288162201851431,-0.014256044197991632,1.9336620892473313,1.9336620892473313,0
1.198779821395874,0.13753817377874827,0.12121986298320354,-0.01631831079554473,-2.4262553054328597,-2.4262553054328597,0
1.2465448379516602,0.13656306868374116,0.11951751251536083,-0.017045556168380327,-1.5775461979911682,-1.5775461979911682,0
1.2945449352264404,0.13612170002863053,0.1178067837447179,-0.01831491628391263,-1.9764644489526688,-1.9764644489526688,0
1.3425757884979248,0.13519243456535057,0.11609495882695407,-0.0190974757383965,-1.750950542922679,-1.750950542922679,0
1.3914084434509277,0.13635166615336689,0.12123755151704477,-0.015114114636322118,1.4072610357952886,1.4072610357952886,0
1.4545443058013916,0.13701640701738482,0.11885194486397485,-0.01816446215340997,-2.6685470934596744,-2.6685470934596744,0
1.5047945976257324,0.1371483118155552,0.11695322318612053,-0.02019508862943467,-2.553266218843582,-2.553266218843582,0
1.5504271984100342,0.13667042504828297,0.1152289822876019,-0.02144144276068108,-2.221426591880602,-2.221426591880602,0
1.5992608070373535,0.13739890709864827,0.1212378433648605,-0.01616106373378777,2.1072887960358004,2.1072887960358004,0
1.64815092086792,0.13701640701738482,0.11926255275094069,-0.01775385426644413,-2.2306174252198554,-2.2306174252198554,0
1.6964194774627686,0.13653446856689233,0.11731237470227246,-0.01922209386461987,-2.2356595197136886,-2.2356595197136886,0
1.743356466293335,0.13519243456535057,0.1154159955323653,-0.019776439032985274,-1.7171991947985557,-1.7171991947985557,0
1.8069076538085938,0.13701640701738482,0.11985230499185931,-0.017164102025525513,-0.01607834733089164,-0.01607834733089164,0
1.8546316623687744,0.1376195252222294,0.11780445561187433,-0.019815069610355063,-3.087197238119133,-3.087197238119133,0
1.9028668403625488,0.1367919755448905,0.11573467182111301,-0.021057303723777496,-2.2364405191852823,-2.2364405191852823,0
1.9505059719085693,0.13627102971280697,0.11369046453545469,-0.022580565177352283,-2.5176163425458795,-2.5176163425458795,0
1.9994616508483887,0.13647393165289562,0.11158976386532486,-0.024884167787570757,-3.1088923541411044,-3.1088923541411044,0
2.048717975616455,0.13607962078263722,0.117636162020195,-0.018443458762442216,2.5706786313213046,2.5706786313213046,0
2.096763849258423,0.13668337454563398,0.11542083179714215,-0.021262542748491833,-3.27760274995085,-3.27760274995085,0
2.1600852012634277,0.13667042504828297,0.11250116993592615,-0.02416925511235682,-3.06965527980433,-3.06965527980433,0
2.2078847885131836,0.1361467780940526,0.11029719564516959,-0.02584958244888301,-2.851912856165181,-2.851912856165181,0
2.2545535564422607,0.13657591225473345,0.11667737625156903,-0.01989853600316442,2.26522709090078,2.26522709090078,0
2.302919864654541,0.1378571974895611,0.11427132943831352,-0.023585868051247585,-4.029209447018745,-4.029209447018745,0
2.3505349159240723,0.1353305095739152,0.1119026549083653,-0.023427854665549905,-1.5986846097793581,-1.5986846097793581,0
