time,position_x,setpoint,error,control_signal,tilt_angle,saturated
0.0,0.1,0.0,-0.1,-5.51,-5.51,0
0.0,0.10009419511034084,0.0,-0.10009419511034084,-5.8077754816022935,-5.8077754816022935,0
0.01447153091430664,0.10028756469997438,0.0,-0.10028756469997438,-6.125963003380245,-6.125963003380245,0
0.025167226791381836,0.10058542797656109,0.0,-0.10058542797656109,-6.46588508724969,-6.46588508724969,0
0.03531932830810547,0.1009934653730173,0.0,-0.1009934653730173,-6.828948850200589,-6.828948850200589,0
0.04600095748901367,0.10151774117642061,0.0,-0.10151774117642061,-7.216651014346672,-7.216651014346672,0
0.05667924880981445,0.1021647274462436,0.0,-0.1021647274462436,-7.630583131190621,-7.630583131190621,0
0.06701350212097168,0.10294132926486882,0.0,-0.10294132926486882,-8.072437010548168,-8.072437010548168,0
0.07736754417419434,0.10385491135762805,0.0,-0.10385491135762805,-8.544010339187775,-8.544010339187775,0
0.08814454078674316,0.10491332611181864,0.0,-0.10491332611181864,-9.047212467573473,-9.047212467573473,0
0.09864401817321777,0.10612494301381584,0.0,-0.10612494301381584,-9.58407033490455,-9.58407033490455,0
0.1090538501739502,0.10749867950997,0.0,-0.10749867950997,-10.156734492614893,-10.156734492614893,0
0.11939501762390137,0.10904403327979971,0.0,-0.10904403327979971,-10.767485174310139,-10.767485174310139,0
0.12978029251098633,0.11077111588829566,0.0,-0.11077111588829566,-11.418738345365025,-11.418738345365025,0
0.14037132263183594,0.11269068775703446,0.0,-0.11269068775703446,-12.11305164764983,-12.11305164764983,0
0.15052056312561035,0.11481419436021588,0.0,-0.11481419436021588,-12.85313013358874,-12.85313013358874,0
0.1611013412475586,0.11715380351046846,0.0,-0.11715380351046846,-13.641831658417178,-13.641831658417178,0
0.1713111400604248,0.11972244354892624,0.0,-0.11972244354892624,-14.4821717695028,-14.4821717695028,0
0.1815352439880371,0.1225338421930892,0.0,-0.1225338421930892,-15.0,-15.0,1
0.19211483001708984,0.12559633092185357,0.0,-0.12559633092185357,-15.0,-15.0,1
0.202315092086792,0.12890965864513476,0.0,-0.12890965864513476,-15.0,-15.0,1
0.21254277229309082,0.13247357452393824,0.0,-0.13247357452393824,-15.0,-15.0,1
0.22275638580322266,0.1362878279701085,0.0,-0.1362878279701085,-15.0,-15.0,1
0.23332715034484863,0.14035216864607813,0.0,-0.14035216864607813,-15.0,-15.0,1
0.243544340133667,0.1446663464646174,0.0,-0.1446663464646174,-15.0,-15.0,1
0.25412583351135254,0.14923011158858368,0.0,-0.14923011158858368,-15.0,-15.0,1
0.26422643661499023,0.15404321443067157,0.0,-0.15404321443067157,-15.0,-15.0,1
0.27439451217651367,0.15910540565316295,0.0,-0.15910540565316295,-15.0,-15.0,1
0.2849738597869873,0.1644164361676774,0.0,-0.1644164361676774,-15.0,-15.0,1
0.295208215713501,0.16997605713492292,0.0,-0.16997605713492292,-15.0,-15.0,1
0.3057091236114502,0.17578401996444676,0.0,-0.17578401996444676,-15.0,-15.0,1
0.3160982131958008,0.18184007631438664,0.0,-0.18184007631438664,-15.0,-15.0,1
0.326812744140625,0.18814397809122219,0.0,-0.18814397809122219,-15.0,-15.0,1
0.3369715213775635,0.19469547744952645,0.0,-0.19469547744952645,-15.0,-15.0,1
0.34752511978149414,0.201494326791718,0.0,-0.201494326791718,-15.0,-15.0,1
0.35811734199523926,0.20854027876781292,0.0,-0.20854027876781292,-15.0,-15.0,1
0.36834716796875,0.2158330862751773,0.0,-0.2158330862751773,-15.0,-15.0,1
0.37856578826904297,0.22337250245827991,0.0,-0.22337250245827991,-15.0,-15.0,1
0.3891019821166992,0.231158280708445,0.0,-0.231158280708445,-15.0,-15.0,1
0.399212121963501,0.23919017466360548,0.0,-0.23919017466360548,-15.0,-15.0,1
0.40938711166381836,0.24746793820805638,0.0,-0.24746793820805638,-15.0,-15.0,1
0.4196317195892334,0.2559913254722084,0.0,-0.2559913254722084,-15.0,-15.0,1
0.4297823905944824,0.2647600908323418,0.0,-0.2647600908323418,-15.0,-15.0,1
0.4400448799133301,0.2737739889103607,0.0,-0.2737739889103607,-15.0,-15.0,1
0.4504661560058594,0.28303277457354714,0.0,-0.28303277457354714,-15.0,-15.0,1
0.461057186126709,0.292536202934316,0.0,-0.292536202934316,-15.0,-15.0,1
0.4712505340576172,0.3022840293499696,0.0,-0.3022840293499696,-15.0,-15.0,1
0.4813878536224365,0.31227600942245315,0.0,-0.31227600942245315,-15.0,-15.0,1
0.4919567108154297,0.3225118989981098,0.0,-0.3225118989981098,-15.0,-15.0,1
0.5020427703857422,0.3329914541674363,0.0,-0.3329914541674363,-15.0,-15.0,1
0.5121707916259766,0.3437144312648391,0.0,-0.3437144312648391,-15.0,-15.0,1
0.5223040580749512,0.35468058686839005,0.0,-0.35468058686839005,-15.0,-15.0,1
0.5324640274047852,0.36588967779958304,0.0,-0.36588967779958304,-15.0,-15.0,1
0.5428004264831543,0.3773414611230904,0.0,-0.3773414611230904,-15.0,-15.0,1
0.5532975196838379,0.38903569414651984,0.0,-0.38903569414651984,-15.0,-15.0,1
0.5635392665863037,0.40097213442017143,0.0,-0.40097213442017143,-15.0,-15.0,1
0.5740087032318115,0.41315053973679494,0.0,-0.41315053973679494,-15.0,-15.0,1
0.5843143463134766,0.42557066813134736,0.0,-0.42557066813134736,-15.0,-15.0,1
0.5949487686157227,0.4382322778807508,0.0,-0.4382322778807508,-15.0,-15.0,1
0.6056175231933594,0.4511351275036504,0.0,-0.4511351275036504,-15.0,-15.0,1
